stringsfile version 1
4106
str_no_string NO_STRING!
str_tutorial_1_msg_3 {!}Excellent._The_next_part_of_this_tutorial_covers_attacking_with_melee_weapons._You_attack_with_your_currently_wielded_weapon_by_using_your_left_mouse_button._Press_and_hold_the_button_to_ready_an_attack,_then_release_the_button_to_strike._If_you_hold_down_the_left_mouse_button_for_a_while_before_releasing,_your_attack_will_be_more_powerful._Now_draw_your_sword_and_destroy_the_four_dummies_in_the_room.
str_tutorial_1_msg_4 {!}Nice_work!_You've_destroyed_all_four_dummies._You_can_now_move_on_to_the_next_room.
str_tutorial_1_msg_5 {!}As_you_see,_there_is_an_archery_target_on_the_far_side_of_the_room._Your_next_task_is_to_use_your_bow_to_put_three_arrows_into_that_target._Press_and_hold_down_the_left_mouse_button_to_notch_an_arrow._You_can_then_fire_the_arrow_by_releasing_the_left_mouse_button._Note_the_targeting_reticule_in_the_centre_of_your_screen,_which_shows_you_the_accuracy_of_your_shot._In_order_to_achieve_optimal_accuracy,_let_fly_your_arrow_when_the_reticule_is_at_its_smallest._Try_to_shoot_the_target_now.
str_tutorial_1_msg_6 {!}Well_done!_You've_learned_the_basics_of_moving_and_attacking._With_a_little_bit_of_practice_you_will_soon_master_them._In_the_second_tutorial_you_can_learn_more_advanced_combat_skills_and_face_armed_opponents._You_can_press_the_Tab_key_at_any_time_to_return_to_the_tutorial_menu.
str_tutorial_2_msg_1 {!}This_tutorial_will_teach_you_how_to_defend_yourself_with_a_shield_and_how_to_battle_armed_opponents._For_the_moment_you_are_armed_with_nothing_but_a_shield._Your_task_is_not_to_attack,_but_to_successfully_protect_yourself_from_harm_with_your_shield._There_is_an_armed_opponent_waiting_for_you_in_the_next_room._He_will_try_his_best_to_knock_you_unconscious,_while_you_must_protect_yourself_with_your_shield_by_pressing_and_holding_the_right_mouse_button._Go_into_the_next_room_now_to_face_your_opponent._Remember_that_you_can_press_the_Tab_key_at_any_time_to_quit_this_tutorial_or_to_exit_any_other_area_in_the_game.
str_tutorial_2_msg_2 {!}Press_and_hold_down_the_right_mouse_button_to_raise_your_shield._Try_to_remain_standing_for_twenty_seconds._You_have_{reg3}_seconds_to_go.
str_tutorial_2_msg_3 {!}Well_done,_you've_succeeded_in_defending_against_an_armed_opponent._The_next_phase_of_this_tutorial_will_pit_you_and_your_shield_against_a_force_of_enemy_archers._Move_on_to_the_next_room_when_you're_ready_to_face_an_archer.
str_tutorial_2_msg_4 {!}Defend_yourself_from_arrows_by_raising_your_shield_with_the_right_mouse_button._Try_to_remain_standing_for_twenty_seconds._You_have_{reg3}_seconds_to_go.
str_tutorial_2_msg_5 {!}Excellent,_you've_put_up_a_succesful_defence_against_the_archer._There_is_a_reward_waiting_for_you_in_the_next_room.
str_tutorial_2_msg_6 {!}In_the_default_configuration,_the_F_key_on_your_keyboard_is_used_for_non-violent_interaction_with_objects_and_humans_in_the_gameworld._To_pick_up_the_sword_on_the_altar,_look_at_it_and_press_F_when_you_see_the_word_'Equip'.
str_tutorial_2_msg_7 {!}A_fine_weapon!_Now_you_can_use_it_to_deliver_a_bit_of_payback._Go_back_through_the_door_and_dispose_of_the_archer_you_faced_earlier.
str_tutorial_2_msg_8 {!}Very_good._Your_last_task_before_finishing_this_tutorial_is_to_face_the_maceman._Go_through_the_door_now_and_show_him_your_steel!
str_tutorial_2_msg_9 {!}Congratulations!_You_have_now_learned_how_to_defend_yourself_with_a_shield_and_even_had_your_first_taste_of_combat_with_armed_opponents._Give_it_a_bit_more_practice_and_you'll_soon_be_a_renowned_swordsman._The_next_tutorial_covers_directional_defence,_which_is_one_of_the_most_important_elements_of_Mount&Blade:_Warband_combat._You_can_press_the_Tab_key_at_any_time_to_return_to_the_tutorial_menu.
str_tutorial_3_msg_1 {!}This_tutorial_is_intended_to_give_you_an_overview_of_parrying_and_defence_without_a_shield._Parrying_attacks_with_your_weapon_is_a_little_bit_more_difficult_than_blocking_them_with_a_shield._When_you_are_defending_with_a_weapon,_you_are_only_protected_from_one_direction,_the_direction_in_which_your_weapon_is_set._If_you_are_blocking_upwards,_you_will_parry_any_overhead_swings_coming_against_you,_but_you_will_not_stop_thrusts_or_attacks_to_your_sides._Either_of_these_attacks_would_still_be_able_to_hit_you._That's_why,_in_order_to_survive_without_a_shield,_you_must_learn_directional_defence._Go_pick_up_the_quarterstaff_by_pressing_the_F_key_now_to_begin_practice.
str_tutorial_3_msg_2 {!}By_default,_the_direction_in_which_you_defend_(by_clicking_and_holding_your_right_mouse_button)_is_determined_by_the_attack_direction_of_your_closest_opponent._For_example,_if_your_opponent_is_readying_a_thrust_attack,_pressing_and_holding_the_right_mouse_button_will_parry_thrust_attacks,_but_not_side_or_overhead_attacks._You_must_watch_your_opponent_carefully_and_only_initiate_your_parry_AFTER_the_enemy_starts_to_attack._If_you_start_BEFORE_he_readies_an_attack,_you_may_parry_the_wrong_way_altogether!_Now_it's_time_for_you_to_move_on_to_the_next_room,_where_you'll_have_to_defend_yourself_against_an_armed_opponent._Your_task_is_to_defend_yourself_successfully_for_twenty_seconds_with_no_equipment_other_than_a_simple_quarterstaff._Your_quarterstaff's_attacks_are_disabled_for_this_tutorial,_so_don't_worry_about_attacking_and_focus_on_your_defence_instead._Move_on_to_the_next_room_when_you_are_ready_to_initiate_the_fight.
str_tutorial_3_msg_3 {!}Press_and_hold_down_the_right_mouse_button_to_defend_yourself_with_your_staff_after_your_opponent_starts_his_attack._Try_to_remain_standing_for_twenty_seconds._You_have_{reg3}_seconds_to_go.
str_tutorial_3_msg_4 {!}Well_done,_you've_succeeded_this_trial!_Now_you_will_be_pitted_against_a_more_challenging_opponent_that_will_make_things_more_difficult_for_you._Move_on_to_the_next_room_when_you're_ready_to_face_him.
str_tutorial_3_msg_5 {!}Press_and_hold_down_the_right_mouse_button_to_defend_yourself_with_your_staff_after_your_opponent_starts_his_attack._Try_to_remain_standing_for_twentys_seconds._You_have_{reg3}_seconds_to_go.
str_tutorial_3_msg_6 {!}Congratulations,_you_still_stand_despite_the_enemy's_best_efforts._The_time_has_now_come_to_attack_as_well_as_defend._Approach_the_door_and_press_the_F_key_when_you_see_the_text_'Next_level'.
str_tutorial_3_2_msg_1 {!}Your_staff's_attacks_have_been_enabled_again._Your_first_opponent_is_waiting_in_the_next_room._Defeat_him_by_a_combination_of_attack_and_defence.
str_tutorial_3_2_msg_2 {!}Defeat_your_opponent_with_your_quarterstaff.
str_tutorial_3_2_msg_3 {!}Excellent._Now_the_only_thing_standing_in_your_way_is_one_last_opponent._He_is_in_the_next_room._Move_in_and_knock_him_down.
str_tutorial_3_2_msg_4 {!}Defeat_your_opponent_with_your_quarterstaff.
str_tutorial_3_2_msg_5 {!}Well_done!_In_this_tutorial_you_have_learned_how_to_fight_ably_without_a_shield._Train_hard_and_train_well,_and_no_one_shall_be_able_to_lay_a_stroke_on_you._In_the_next_tutorial_you_may_learn_horseback_riding_and_cavalry_combat._You_can_press_the_Tab_key_at_any_time_to_return_to_the_tutorial_menu.
str_tutorial_4_msg_1 {!}Welcome_to_the_fourth_tutorial._In_this_sequence_you'll_learn_about_riding_a_horse_and_how_to_perform_various_martial_exercises_on_horseback._We'll_start_by_getting_you_mounted_up._Approach_the_horse,_and_press_the_'F'_key_when_you_see_the_word_'Mount'.
str_tutorial_4_msg_2 {!}While_on_horseback,_W,_A,_S,_and_D_keys_control_your_horse's_movement,_not_your_own._Ride_your_horse_and_try_to_follow_the_yellow_flag_around_the_course._When_you_reach_the_flag,_it_will_move_to_the_next_waypoint_on_the_course_until_you_reach_the_finish.
str_tutorial_4_msg_3 {!}Very_good._Next_we'll_cover_attacking_enemies_from_horseback._Approach_the_yellow_flag_now.
str_tutorial_4_msg_4 {!}Draw_your_sword_(using_the_mouse_wheel)_and_destroy_the_two_targets._Try_hitting_the_dummies_as_you_pass_them_at_full_gallop_--_this_provides_an_extra_challenge,_but_the_additional_speed_added_to_your_blow_will_allow_you_to_do_more_damage._The_easiest_way_of_doing_this_is_by_pressing_and_holding_the_left_mouse_button_until_the_right_moment,_releasing_it_just_before_you_pass_the_target.
str_tutorial_4_msg_5 {!}Excellent_work._Now_let_us_try_some_target_shooting_from_horseback._Go_near_the_yellow_flag_now.
str_tutorial_4_msg_6 {!}Locate_the_archery_target_beside_the_riding_course_and_shoot_it_three_times_with_your_bow._Although_you_are_not_required_to_ride_while_shooting,_it's_recommended_that_you_try_to_hit_the_target_at_various_speeds_and_angles_to_get_a_feel_for_how_your_horse's_speed_and_course_affects_your_aim.
str_tutorial_4_msg_7 {!}Congratulations,_you_have_finished_this_tutorial._You_can_press_the_Tab_key_at_any_time_to_return_to_the_tutorial_menu.
str_tutorial_5_msg_1 {!}TODO:_Follow_order_to_the_flag
str_tutorial_5_msg_2 {!}TODO:_Move_to_the_flag,_keep_your_units_at_this_position
str_tutorial_5_msg_3 {!}TODO:_Move_to_the_flag_to_get_the_archers
str_tutorial_5_msg_4 {!}TODO:_Move_archers_to_flag1,_infantry_to_flag2
str_tutorial_5_msg_5 {!}TODO:_Enemy_is_charging._Fight!
str_tutorial_5_msg_6 {!}TODO:_End_of_battle.
str_trainer_help_1 {!}This_is_a_training_ground_where_you_can_learn_the_basics_of_the_game._Use_W,_A,_S,_and_D_keys_to_move_and_the_mouse_to_look_around.
str_trainer_help_2 {!}To_speak_with_the_trainer,_go_near_him,_look_at_him_and_press_the_'F'_key_when_you_see_the_word_'Talk'_under_his_name._When_you_wish_to_leave_this_or_any_other_area_or_retreat_from_a_battle,_you_can_press_the_TAB_key.
str_custom_battle_1 {!}Lord_Haringoth_of_Swadia_is_travelling_with_his_household_knights_when_he_spots_a_group_of_raiders_preparing_to_attack_a_small_hamlet._Shouting_out_his_warcry,_he_spurs_his_horse_forward,_and_leads_his_loyal_men_to_a_fierce_battle.
str_custom_battle_2 {!}Lord_Mleza_is_leading_a_patrol_of_horsemen_and_archers_in_search_of_a_group_of_bandits_who_plundered_a_caravan_and_ran_away_to_the_hills._Unfortunately_the_bandits_have_recently_met_two_other_large_groups_who_want_a_share_of_their_booty,_and_spotting_the_new_threat,_they_decide_to_combine_their_forces.
str_custom_battle_3 {!}Lady_Brina_is_leading_the_defense_of_her_castle_against_a_Swadian_army._Now,_as_the_besiegers_prepare_for_a_final_assault_on_the_walls,_she_must_make_sure_the_attack_does_not_succeed.
str_custom_battle_4 {!}When_the_scouts_inform_Lord_Grainwad_of_the_presence_of_an_enemy_war_band,_he_decides_to_act_quickly_and_use_the_element_of_surprise_against_superior_numbers.
str_custom_battle_5 {!}Lord_Haeda_has_brought_his_fierce_huscarls_into_the_south_with_the_promise_of_plunder._If_he_can_make_this_castle_fall_to_him_today,_he_will_settle_in_these_lands_and_become_the_ruler_of_this_valley.
str_finished (Finished)
str_delivered_damage Delivered_{reg60}_damage.
str_archery_target_hit Distance:_{reg61}_yards._Score:_{reg60}
str_use_baggage_for_inventory Use_your_baggage_to_access_your_inventory_during_battle_(it's_at_your_starting_position).
str_cant_use_inventory_now Can't_access_inventory_now.
str_cant_use_inventory_arena Can't_access_inventory_in_the_arena.
str_cant_use_inventory_disguised Can't_access_inventory_while_you're_disguised.
str_cant_use_inventory_tutorial Can't_access_inventory_in_the_training_camp.
str_1_denar 1_denar
str_reg1_denars {reg1}_crowns
str_january_reg1_reg2 January_{reg1},_{reg2}
str_february_reg1_reg2 February_{reg1},_{reg2}
str_march_reg1_reg2 March_{reg1},_{reg2}
str_april_reg1_reg2 April_{reg1},_{reg2}
str_may_reg1_reg2 May_{reg1},_{reg2}
str_june_reg1_reg2 June_{reg1},_{reg2}
str_july_reg1_reg2 July_{reg1},_{reg2}
str_august_reg1_reg2 August_{reg1},_{reg2}
str_september_reg1_reg2 September_{reg1},_{reg2}
str_october_reg1_reg2 October_{reg1},_{reg2}
str_november_reg1_reg2 November_{reg1},_{reg2}
str_december_reg1_reg2 December_{reg1},_{reg2}
str_town_nighttime _It_is_late_at_night_and_honest_folk_have_abandoned_the_streets.
str_door_locked The_door_is_locked.
str_castle_is_abondened The_castle_seems_to_be_unoccupied.
str_town_is_abondened The_town_has_no_garrison_defending_it.
str_place_is_occupied_by_player The_place_is_held_by_your_own_troops.
str_place_is_occupied_by_enemy The_place_is_held_by_hostile_troops.
str_place_is_occupied_by_friendly The_place_is_held_by_friendly_troops.
str_do_you_want_to_retreat Are_you_sure_you_want_to_retreat?
str_give_up_fight Give_up_the_fight?
str_do_you_wish_to_leave_tutorial Do_you_wish_to_leave_the_tutorial?
str_do_you_wish_to_surrender Do_you_wish_to_surrender?
str_can_not_retreat Can't_retreat,_there_are_enemies_nearby!
str_s1_joined_battle_enemy {s1}_has_joined_the_battle_on_the_enemy_side.
str_s1_joined_battle_friend {s1}_has_joined_the_battle_on_your_side.
str_entrance_to_town_forbidden The_town_guards_are_on_the_lookout_for_intruders_and_it_seems_that_you_won't_be_able_to_pass_through_the_gates_unchallenged.
str_sneaking_to_town_impossible The_town_guards_are_alarmed._You_wouldn't_be_able_to_sneak_through_that_gate_no_matter_how_well_you_disguised_yourself.
str_battle_won You_have_won_the_battle!
str_battle_lost You_have_lost_the_battle!
str_attack_walls_success After_a_bloody_fight,_your_brave_soldiers_manage_to_claim_the_walls_from_the_enemy.
str_attack_walls_failure Your_soldiers_fall_in_waves_as_they_charge_the_walls,_and_the_few_who_remain_alive_soon_rout_and_run_away,_never_to_be_seen_again.
str_attack_walls_continue A_bloody_battle_ensues_and_both_sides_fight_with_equal_valour._Despite_the_efforts_of_your_troops,_the_castle_remains_in_enemy_hands.
str_order_attack_success Your_men_fight_bravely_and_defeat_the_enemy.
str_order_attack_failure You_watch_the_battle_in_despair_as_the_enemy_cuts_your_soldiers_down,_then_easily_drives_off_the_few_ragged_survivors.
str_order_attack_continue Despite_an_extended_skirmish,_your_troops_were_unable_to_win_a_decisive_victory.
str_join_order_attack_success Your_men_fight_well_alongside_your_allies,_sharing_in_the_glory_as_your_enemies_are_beaten.
str_join_order_attack_failure You_watch_the_battle_in_despair_as_the_enemy_cuts_your_soldiers_down,_then_easily_drives_off_the_few_ragged_survivors.
str_join_order_attack_continue Despite_an_extended_skirmish,_neither_your_troops_nor_your_allies_were_able_to_win_a_decisive_victory_over_the_enemy.
str_siege_defender_order_attack_success The_men_of_the_garrison_hold_their_walls_with_skill_and_courage,_breaking_the_enemy_assault_and_skillfully_turning_the_defeat_into_a_full-fledged_rout.
str_siege_defender_order_attack_failure The_assault_quickly_turns_into_a_bloodbath._Valiant_efforts_are_for_naught;_the_overmatched_garrison_cannot_hold_the_walls,_and_the_enemy_puts_every_last_defender_to_the_sword.
str_siege_defender_order_attack_continue Repeated,_bloody_attempts_on_the_walls_fail_to_gain_any_ground,_but_too_many_enemies_remain_for_the_defenders_to_claim_a_true_victory._The_siege_continues.
str_hero_taken_prisoner {s1}_of_{s3}_has_been_taken_prisoner_by_{s2}.
str_hero_freed {s1}_of_{s3}_has_been_freed_from_captivity_by_{s2}.
str_center_captured {s2}_have_taken_{s1}_from_{s3}.
str_troop_relation_increased Your_relation_with_{s1}_has_increased_from_{reg1}_to_{reg2}.
str_troop_relation_detoriated Your_relation_with_{s1}_has_deteriorated_from_{reg1}_to_{reg2}.
str_faction_relation_increased Your_relation_with_{s1}_has_increased_from_{reg1}_to_{reg2}.
str_faction_relation_detoriated Your_relation_with_{s1}_has_deteriorated_from_{reg1}_to_{reg2}.
str_party_gained_morale Your_party_gains_{reg1}_morale.
str_party_lost_morale Your_party_loses_{reg1}_morale.
str_other_party_gained_morale {s1}_gains_{reg1}_morale.
str_other_party_lost_morale {s1}_loses_{reg1}_morale.
str_qst_follow_spy_noticed_you The_spy_has_spotted_you!_He's_making_a_run_for_it!
str_s3s_s2 {s3}'s_{s2}
str_s5_is_s51 {s5}_is_{s51}.
str_s5_is_the_ruler_of_s51 {s5}_is_the_ruler_of_{s51}._
str_s5_is_a_nobleman_of_s6 {s5}_is_a_{reg4?noblewoman:nobleman}_of_{s6}._
str_relation_mnus_100 Vengeful
str_relation_mnus_90 Vengeful
str_relation_mnus_80 Vengeful
str_relation_mnus_70 Hateful
str_relation_mnus_60 Hateful
str_relation_mnus_50 Hostile
str_relation_mnus_40 Angry
str_relation_mnus_30 Resentful
str_relation_mnus_20 Grumbling
str_relation_mnus_10 Suspicious
str_relation_plus_0 Indifferent
str_relation_plus_10 Cooperative
str_relation_plus_20 Welcoming
str_relation_plus_30 Favorable
str_relation_plus_40 Supportive
str_relation_plus_50 Friendly
str_relation_plus_60 Gracious
str_relation_plus_70 Fond
str_relation_plus_80 Loyal
str_relation_plus_90 Devoted
str_relation_mnus_100_ns {s60}_is_vengeful_towards_you.
str_relation_mnus_90_ns {s60}_is_vengeful_towards_you.
str_relation_mnus_80_ns {s60}_is_vengeful_towards_you.
str_relation_mnus_70_ns {s60}_is_hateful_towards_you.
str_relation_mnus_60_ns {s60}_is_hateful_towards_you.
str_relation_mnus_50_ns {s60}_is_hostile_towards_you.
str_relation_mnus_40_ns {s60}_is_angry_towards_you.
str_relation_mnus_30_ns {s60}_is_resentful_towards_you.
str_relation_mnus_20_ns {s60}_is_grumbling_against_you.
str_relation_mnus_10_ns {s60}_is_suspicious_towards_you.
str_relation_plus_0_ns {s60}_is_indifferent_towards_you.
str_relation_plus_10_ns {s60}_is_cooperative_towards_you.
str_relation_plus_20_ns {s60}_is_welcoming_towards_you.
str_relation_plus_30_ns {s60}_is_favorable_to_you.
str_relation_plus_40_ns {s60}_is_supportive_to_you.
str_relation_plus_50_ns {s60}_is_friendly_to_you.
str_relation_plus_60_ns {s60}_is_gracious_to_you.
str_relation_plus_70_ns {s60}_is_fond_of_you.
str_relation_plus_80_ns {s60}_is_loyal_to_you.
str_relation_plus_90_ns {s60}_is_devoted_to_you.
str_relation_reg1 _Relation:_{reg1}
str_center_relation_mnus_100 The_populace_hates_you_with_a_passion
str_center_relation_mnus_90 The_populace_hates_you_intensely
str_center_relation_mnus_80 The_populace_hates_you_strongly
str_center_relation_mnus_70 The_populace_hates_you
str_center_relation_mnus_60 The_populace_is_hateful_to_you
str_center_relation_mnus_50 The_populace_is_extremely_hostile_to_you
str_center_relation_mnus_40 The_populace_is_very_hostile_to_you
str_center_relation_mnus_30 The_populace_is_hostile_to_you
str_center_relation_mnus_20 The_populace_is_against_you
str_center_relation_mnus_10 The_populace_is_opposed_to_you
str_center_relation_plus_0 The_populace_is_indifferent_to_you
str_center_relation_plus_10 The_populace_is_acceptive_of_you
str_center_relation_plus_20 The_populace_is_cooperative_to_you
str_center_relation_plus_30 The_populace_is_somewhat_supportive_of_you
str_center_relation_plus_40 The_populace_is_supportive_of_you
str_center_relation_plus_50 The_populace_is_very_supportive_of_you
str_center_relation_plus_60 The_populace_is_loyal_to_you
str_center_relation_plus_70 The_populace_is_highly_loyal_to_you
str_center_relation_plus_80 The_populace_is_devoted_to_you
str_center_relation_plus_90 The_populace_is_fiercely_devoted_to_you
str_town_prosperity_0 The_poverty_of_the_town_of_{s60}_is_unbearable
str_town_prosperity_10 The_squalorous_town_of_{s60}_is_all_but_deserted.
str_town_prosperity_20 The_town_of_{s60}_looks_a_wretched,_desolate_place.
str_town_prosperity_30 The_town_of_{s60}_looks_poor_and_neglected.
str_town_prosperity_40 The_town_of_{s60}_appears_to_be_struggling.
str_town_prosperity_50 The_town_of_{s60}_seems_unremarkable.
str_town_prosperity_60 The_town_of_{s60}_seems_to_be_flourishing.
str_town_prosperity_70 The_prosperous_town_of_{s60}_is_bustling_with_activity.
str_town_prosperity_80 The_town_of_{s60}_looks_rich_and_well-maintained.
str_town_prosperity_90 The_town_of_{s60}_is_opulent_and_crowded_with_well-to-do_people.
str_town_prosperity_100 The_glittering_town_of_{s60}_openly_flaunts_its_great_wealth.
str_village_prosperity_0 The_poverty_of_the_village_of_{s60}_is_unbearable.
str_village_prosperity_10 The_village_of_{s60}_looks_wretchedly_poor_and_miserable.
str_village_prosperity_20 The_village_of_{s60}_looks_very_poor_and_desolate.
str_village_prosperity_30 The_village_of_{s60}_looks_poor_and_neglected.
str_village_prosperity_40 The_village_of_{s60}_appears_to_be_somewhat_poor_and_struggling.
str_village_prosperity_50 The_village_of_{s60}_seems_unremarkable.
str_village_prosperity_60 The_village_of_{s60}_seems_to_be_flourishing.
str_village_prosperity_70 The_village_of_{s60}_appears_to_be_thriving.
str_village_prosperity_80 The_village_of_{s60}_looks_rich_and_well-maintained.
str_village_prosperity_90 The_village_of_{s60}_looks_very_rich_and_prosperous.
str_village_prosperity_100 The_village_of_{s60},_surrounded_by_vast,_fertile_fields,_looks_immensely_rich.
str_town_alt_prosperity_0 Those_few_items_sold_in_the_market_appear_to_be_priced_well_out_of_the_range_of_the_inhabitants._The_people_are_malnourished,_their_animals_are_sick_or_dying,_and_the_tools_of_their_trade_appear_to_be_broken._The_back_alleys_have_been_abandoned_to_flies_and_mangy_dogs.
str_town_alt_prosperity_20 You_hear_grumbling_in_the_marketplace_about_the_price_of_everyday_items_and_the_shops_are_half_empty._You_see_the_signs_of_malnourishment_on_both_people_and_animals,_and_both_buildings_and_tools_suffer_from_lack_of_repair._Many_may_already_have_migrated_to_seek_work_elsewhere.
str_town_alt_prosperity_40 You_hear_the_occasional_grumble_in_the_marketplace_about_the_price_of_everyday_items,_but_there_appear_to_be_a_reasonable_amount_of_goods_for_sale._You_see_the_occasional_abandoned_building,_shop,_or_cart,_but_nothing_more_than_the_ordinary.
str_town_alt_prosperity_60 The_people_look_well-fed_and_relatively_content._Craftsmen_do_a_thriving_business,_and_some_migrants_appear_to_be_coming_here_from_other_regions_to_seek_their_luck.
str_town_alt_prosperity_80 The_walls,_streets,_and_homes_are_well-maintained._The_markets_are_thronged_with_migrants_from_the_nearby_regions_drawn_here_by_the_availability_of_both_goods_and_work._The_rhythm_of_hammers_and_looms_speak_to_the_business_of_the_artisans'_workshops.
str_village_alt_prosperity_0 Only_a_handful_of_people_are_strong_enough_to_work_in_the_fields,_many_of_which_are_becoming_overgrown_with_weeds._The_rest_are_weak_and_malnourished,_or_have_already_fled_elsewhere._The_draft_animals_have_long_since_starved_or_were_eaten,_although_a_few_carcasses_still_lie_on_the_outskirts,_their_bones_knawed_by_wild_beasts.
str_village_alt_prosperity_20 Some_farmers_and_animals_are_out_in_the_fields,_but_their_small_numbers_suggest_that_some_villagers_may_be_emigrating_in_search_of_food._Farm_implements_look_rusty_and_broken._Brush_and_weeds_seem_to_be_reclaiming_some_of_the_outermost_fields.
str_village_alt_prosperity_40 The_fields_and_orchards_are_busy,_with_villagers_engaged_in_the_tasks_of_the_seasons._Humans_and_animals_alike_look_relatively_healthy_and_well-fed._However,_a_small_number_of_the_outermost_fields_are_left_unsewn,_and_some_walls_are_in_ill_repair,_suggesting_that_there_are_still_not_quite_enough_hands_to_do_all_the_work_which_needs_to_be_done.
str_village_alt_prosperity_60 The_fields_and_orchards_are_humming_with_activity,_with_filled_sacks_of_grain_and_drying_meat_testifying_to_the_productivity_of_the_village's_cropland_and_pastureland.
str_village_alt_prosperity_80 The_fields_and_orchards_are_humming_with_activity,_with_freshly_dug_irrigation_ditches_suggest_that_the_farmers_have_enough_spare_time_and_energy_to_expand_area_under_cultivation._Seasonal_laborers_appear_to_be_flocking_here_to_help_with_the_work_and_join_in_the_general_prosperity.
str_oasis_village_alt_prosperity_0 The_palm_groves_are_virtually_abandoned,_and_the_canals_which_irrigate_them_are_clogged_with_silt._The_handful_of_villagers_you_see_look_malnourished_and_restless._The_draft_animals_have_long_since_starved_or_were_eaten,_although_a_few_carcasses_still_lie_on_the_outskirts,_their_bones_knawed_by_the_wild_jackals_of_the_desert.
